Project name,Period,Technology,CAPEX annuity,Additional OPEX,CAPEX total,Emissions,Energy cost,Free Allocations,cost,cost_Biobutene,cost_Bioethanol,cost_Biomass,cost_CO2 EoL,cost_Coking Coal,cost_DRI-Pellets,cost_Electricity,cost_Hydrogen,cost_Injection Coal,cost_Iron Ore,cost_Naphta,cost_Natural Gas,cost_PCW,cost_Scrap Steel,cost_ref,CAPEX annuity_ref,CAPEX total_ref,Energy cost_ref,cost_Biobutene_ref,cost_Bioethanol_ref,cost_Biomass_ref,cost_CO2 EoL_ref,cost_Coking Coal_ref,cost_DRI-Pellets_ref,cost_Electricity_ref,cost_Hydrogen_ref,cost_Injection Coal_ref,cost_Iron Ore_ref,cost_Naphta_ref,cost_Natural Gas_ref,cost_PCW_ref,cost_Scrap Steel_ref,Additional OPEX_ref,Emissions_ref,Free Allocations_ref,Additional OPEX_diff,CAPEX annuity_diff,CAPEX total_diff,Emissions_diff,Energy cost_diff,Free Allocations_diff,cost_diff,cost_Biobutene_diff,cost_Bioethanol_diff,cost_Biomass_diff,cost_CO2 EoL_diff,cost_Coking Coal_diff,cost_DRI-Pellets_diff,cost_Electricity_diff,cost_Hydrogen_diff,cost_Injection Coal_diff,cost_Iron Ore_diff,cost_Naphta_diff,cost_Natural Gas_diff,cost_PCW_diff,cost_Scrap Steel_diff,CO2 Price,Size,Effective CO2 Price,Industry,Abatement_cost,Energy cost_lower,Energy cost_upper,Energy cost_diff_lower,Energy cost_diff_upper,Energy cost_ref_lower,Energy cost_ref_upper,cost_lower,cost_upper,cost_Electricity_lower,cost_Electricity_upper,cost_Electricity_diff_lower,cost_Electricity_diff_upper,cost_Electricity_ref_lower,cost_Electricity_ref_upper,cost_diff_lower,cost_diff_upper,cost_ref_lower,cost_ref_upper
Andere a),2025,Agora-Dampfkessel,20.357477987511594,3.0,98.8584474885845,0.0,117.53459999999998,0.0,140.89207798751158,0.0,0.0,0.0,0.0,0.0,0.0,117.53459999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,143.90275040309203,5.500750403092048,26.7123287671233,132.552,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,132.552,0.0,0.0,5.85,0.4,0.0,-2.8499999999999996,14.856727584419545,72.1461187214612,-0.4,-15.01740000000001,0.0,-3.0106724155804443,0.0,0.0,0.0,0.0,0.0,0.0,117.53459999999998,0.0,0.0,0.0,0.0,-132.552,0.0,0.0,108.84,0.5,108.84,other_industries,-7.526681038951111,94.02768,141.04151999999996,-38.52431999999999,8.48951999999997,132.552,132.552,117.3851579875116,164.39899798751156,94.02768,141.04151999999996,94.02768,141.04151999999996,0.0,0.0,-26.517592415580424,20.496247584419535,143.90275040309203,143.90275040309203
Andere a),2026,Agora-Dampfkessel,20.357477987511594,3.0,98.8584474885845,0.0,117.2862,0.0,140.64367798751158,0.0,0.0,0.0,0.0,0.0,0.0,117.2862,0.0,0.0,0.0,0.0,0.0,0.0,0.0,144.91075040309204,5.500750403092048,26.7123287671233,133.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,133.56,0.0,0.0,5.85,0.4,0.0,-2.8499999999999996,14.856727584419545,72.1461187214612,-0.4,-16.27380000000001,0.0,-4.267072415580458,0.0,0.0,0.0,0.0,0.0,0.0,117.2862,0.0,0.0,0.0,0.0,-133.56,0.0,0.0,127.07,0.5,127.07000000000001,other_industries,-10.667681038951145,93.82896000000001,140.74343999999996,-39.73103999999999,7.183439999999976,133.56,133.56,117.18643798751157,164.1009179875116,93.82896000000001,140.74343999999996,93.82896000000001,140.74343999999996,0.0,0.0,-27.72431241558047,19.190167584419555,144.91075040309204,144.91075040309204
Andere a),2027,Agora-Dampfkessel,20.357477987511594,3.0,98.8584474885845,0.0,117.0378,0.0,140.3952779875116,0.0,0.0,0.0,0.0,0.0,0.0,117.0378,0.0,0.0,0.0,0.0,0.0,0.0,0.0,145.99075040309202,5.500750403092048,26.7123287671233,134.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,134.64,0.0,0.0,5.85,0.4,0.0,-2.8499999999999996,14.856727584419545,72.1461187214612,-0.4,-17.602199999999982,0.0,-5.595472415580417,0.0,0.0,0.0,0.0,0.0,0.0,117.0378,0.0,0.0,0.0,0.0,-134.64,0.0,0.0,145.3,0.5,145.3,other_industries,-13.988681038951043,93.63024000000001,140.44536,-41.00975999999997,5.805360000000007,134.64,134.64,116.98771798751162,163.8028379875116,93.63024000000001,140.44536,93.63024000000001,140.44536,0.0,0.0,-29.003032415580407,17.812087584419572,145.99075040309202,145.99075040309202
Andere a),2028,Agora-Dampfkessel,20.357477987511594,3.0,98.8584474885845,0.0,116.78939999999999,0.0,140.14687798751157,0.0,0.0,0.0,0.0,0.0,0.0,116.78939999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,146.99875040309203,5.500750403092048,26.7123287671233,135.648,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,135.648,0.0,0.0,5.85,0.4,0.0,-2.8499999999999996,14.856727584419545,72.1461187214612,-0.4,-18.85860000000001,0.0,-6.851872415580459,0.0,0.0,0.0,0.0,0.0,0.0,116.78939999999999,0.0,0.0,0.0,0.0,-135.648,0.0,0.0,163.54,0.5,163.54,other_industries,-17.129681038951148,93.43151999999999,140.14727999999997,-42.216480000000004,4.499279999999985,135.648,135.648,116.78899798751155,163.5047579875116,93.43151999999999,140.14727999999997,93.43151999999999,140.14727999999997,0.0,0.0,-30.209752415580482,16.506007584419564,146.99875040309203,146.99875040309203
Andere a),2029,Agora-Dampfkessel,20.357477987511594,3.0,98.8584474885845,0.0,116.541,0.0,139.8984779875116,0.0,0.0,0.0,0.0,0.0,0.0,116.541,0.0,0.0,0.0,0.0,0.0,0.0,0.0,148.07875040309204,5.500750403092048,26.7123287671233,136.728,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,136.728,0.0,0.0,5.85,0.4,0.0,-2.8499999999999996,14.856727584419545,72.1461187214612,-0.4,-20.187000000000012,0.0,-8.180272415580447,0.0,0.0,0.0,0.0,0.0,0.0,116.541,0.0,0.0,0.0,0.0,-136.728,0.0,0.0,181.77,0.5,181.77,other_industries,-20.450681038951117,93.2328,139.8492,-43.49520000000001,3.1211999999999875,136.728,136.728,116.5902779875116,163.2066779875116,93.2328,139.8492,93.2328,139.8492,0.0,0.0,-31.488472415580446,15.127927584419552,148.07875040309204,148.07875040309204
Andere a),2030,Agora-Dampfkessel,20.357477987511594,3.0,98.8584474885845,0.0,116.25119999999998,0.0,139.60867798751158,0.0,0.0,0.0,0.0,0.0,0.0,116.25119999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,149.08675040309203,5.500750403092048,26.7123287671233,137.736,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,137.736,0.0,0.0,5.85,0.4,0.0,-2.8499999999999996,14.856727584419545,72.1461187214612,-0.4,-21.484800000000007,0.0,-9.478072415580442,0.0,0.0,0.0,0.0,0.0,0.0,116.25119999999998,0.0,0.0,0.0,0.0,-137.736,0.0,0.0,200.0,0.5,200.0,other_industries,-23.695181038951105,93.00095999999996,139.50144,-44.735040000000026,1.7654400000000123,137.736,137.736,116.35843798751156,162.8589179875116,93.00095999999996,139.50144,93.00095999999996,139.50144,0.0,0.0,-32.72831241558046,13.772167584419577,149.08675040309203,149.08675040309203
Andere a),2031,Agora-Dampfkessel,20.357477987511594,3.0,98.8584474885845,0.0,113.47739999999999,0.0,136.8348779875116,0.0,0.0,0.0,0.0,0.0,0.0,113.47739999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,157.00675040309204,5.500750403092048,26.7123287671233,145.656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,145.656,0.0,0.0,5.85,0.4,0.0,-2.8499999999999996,14.856727584419545,72.1461187214612,-0.4,-32.17860000000002,0.0,-20.171872415580452,0.0,0.0,0.0,0.0,0.0,0.0,113.47739999999999,0.0,0.0,0.0,0.0,-145.656,0.0,0.0,220.0,0.5,220.0,other_industries,-50.42968103895113,90.78191999999999,136.17288,-54.87408000000002,-9.483120000000014,145.656,145.656,114.13939798751161,159.53035798751156,90.78191999999999,136.17288,90.78191999999999,136.17288,0.0,0.0,-42.86735241558043,2.5236075844195227,157.00675040309204,157.00675040309204
Andere a),2032,Agora-Dampfkessel,20.357477987511594,3.0,98.8584474885845,0.0,110.66219999999998,0.0,134.01967798751159,0.0,0.0,0.0,0.0,0.0,0.0,110.66219999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,164.92675040309203,5.500750403092048,26.7123287671233,153.576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,153.576,0.0,0.0,5.85,0.4,0.0,-2.8499999999999996,14.856727584419545,72.1461187214612,-0.4,-42.91380000000001,0.0,-30.907072415580444,0.0,0.0,0.0,0.0,0.0,0.0,110.66219999999998,0.0,0.0,0.0,0.0,-153.576,0.0,0.0,240.0,0.5,240.0,other_industries,-77.26768103895111,88.52975999999998,132.79464,-65.04624000000001,-20.781360000000006,153.576,153.576,111.88723798751161,156.15211798751156,88.52975999999998,132.79464,88.52975999999998,132.79464,0.0,0.0,-53.03951241558042,-8.77463241558047,164.92675040309203,164.92675040309203
Andere a),2033,Agora-Dampfkessel,20.357477987511594,3.0,98.8584474885845,0.0,107.847,0.0,131.20447798751158,0.0,0.0,0.0,0.0,0.0,0.0,107.847,0.0,0.0,0.0,0.0,0.0,0.0,0.0,172.91875040309205,5.500750403092048,26.7123287671233,161.568,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,161.568,0.0,0.0,5.85,0.4,0.0,-2.8499999999999996,14.856727584419545,72.1461187214612,-0.4,-53.72100000000002,0.0,-41.71427241558047,0.0,0.0,0.0,0.0,0.0,0.0,107.847,0.0,0.0,0.0,0.0,-161.568,0.0,0.0,260.0,0.5,260.0,other_industries,-104.28568103895117,86.27759999999999,129.4164,-75.29040000000002,-32.151600000000016,161.568,161.568,109.63507798751155,152.7738779875116,86.27759999999999,129.4164,86.27759999999999,129.4164,0.0,0.0,-63.2836724155805,-20.144872415580437,172.91875040309205,172.91875040309205
Andere a),2034,Agora-Dampfkessel,20.357477987511594,3.0,98.8584474885845,0.0,105.03179999999999,0.0,128.38927798751158,0.0,0.0,0.0,0.0,0.0,0.0,105.03179999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,180.83875040309204,5.500750403092048,26.7123287671233,169.488,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,169.488,0.0,0.0,5.85,0.4,0.0,-2.8499999999999996,14.856727584419545,72.1461187214612,-0.4,-64.45620000000001,0.0,-52.44947241558046,0.0,0.0,0.0,0.0,0.0,0.0,105.03179999999999,0.0,0.0,0.0,0.0,-169.488,0.0,0.0,280.0,0.5,280.0,other_industries,-131.12368103895113,84.02543999999999,126.03815999999999,-85.46256000000001,-43.44984000000001,169.488,169.488,107.38291798751155,149.3956379875116,84.02543999999999,126.03815999999999,84.02543999999999,126.03815999999999,0.0,0.0,-73.45583241558049,-31.44311241558043,180.83875040309204,180.83875040309204
Andere a),2035,Agora-Dampfkessel,20.357477987511594,3.0,98.8584474885845,0.0,102.258,0.0,125.61547798751158,0.0,0.0,0.0,0.0,0.0,0.0,102.258,0.0,0.0,0.0,0.0,0.0,0.0,0.0,188.75875040309202,5.500750403092048,26.7123287671233,177.408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,177.408,0.0,0.0,5.85,0.4,0.0,-2.8499999999999996,14.856727584419545,72.1461187214612,-0.4,-75.14999999999999,0.0,-63.14327241558044,0.0,0.0,0.0,0.0,0.0,0.0,102.258,0.0,0.0,0.0,0.0,-177.408,0.0,0.0,300.0,0.5,300.0,other_industries,-157.8581810389511,81.80640000000001,122.70959999999998,-95.60159999999998,-54.69840000000001,177.408,177.408,105.1638779875116,146.06707798751157,81.80640000000001,122.70959999999998,81.80640000000001,122.70959999999998,0.0,0.0,-83.59487241558043,-42.691672415580456,188.75875040309202,188.75875040309202
Andere a),2036,Agora-Dampfkessel,20.357477987511594,3.0,98.8584474885845,0.0,99.981,0.0,123.3384779875116,0.0,0.0,0.0,0.0,0.0,0.0,99.981,0.0,0.0,0.0,0.0,0.0,0.0,0.0,197.32675040309203,5.500750403092048,26.7123287671233,185.976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,185.976,0.0,0.0,5.85,0.4,0.0,-2.8499999999999996,14.856727584419545,72.1461187214612,-0.4,-85.995,0.0,-73.98827241558044,0.0,0.0,0.0,0.0,0.0,0.0,99.981,0.0,0.0,0.0,0.0,-185.976,0.0,0.0,320.0,0.5,320.0,other_industries,-184.97068103895108,79.9848,119.97719999999998,-105.99119999999999,-65.99880000000002,185.976,185.976,103.34227798751161,143.33467798751158,79.9848,119.97719999999998,79.9848,119.97719999999998,0.0,0.0,-93.98447241558043,-53.99207241558045,197.32675040309203,197.32675040309203
Andere a),2037,Agora-Dampfkessel,20.357477987511594,3.0,98.8584474885845,0.0,97.6626,0.0,121.0200779875116,0.0,0.0,0.0,0.0,0.0,0.0,97.6626,0.0,0.0,0.0,0.0,0.0,0.0,0.0,205.82275040309204,5.500750403092048,26.7123287671233,194.472,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,194.472,0.0,0.0,5.85,0.4,0.0,-2.8499999999999996,14.856727584419545,72.1461187214612,-0.4,-96.80940000000001,0.0,-84.80267241558045,0.0,0.0,0.0,0.0,0.0,0.0,97.6626,0.0,0.0,0.0,0.0,-194.472,0.0,0.0,340.0,0.5,340.0,other_industries,-212.00668103895111,78.13007999999999,117.19512,-116.34192000000002,-77.27688,194.472,194.472,101.48755798751162,140.55259798751158,78.13007999999999,117.19512,78.13007999999999,117.19512,0.0,0.0,-104.33519241558042,-65.27015241558047,205.82275040309204,205.82275040309204
Andere a),2038,Agora-Dampfkessel,20.357477987511594,3.0,98.8584474885845,0.0,95.3856,0.0,118.74307798751158,0.0,0.0,0.0,0.0,0.0,0.0,95.3856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,214.39075040309203,5.500750403092048,26.7123287671233,203.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,203.04,0.0,0.0,5.85,0.4,0.0,-2.8499999999999996,14.856727584419545,72.1461187214612,-0.4,-107.6544,0.0,-95.64767241558044,0.0,0.0,0.0,0.0,0.0,0.0,95.3856,0.0,0.0,0.0,0.0,-203.04,0.0,0.0,360.0,0.5,360.0,other_industries,-239.1191810389511,76.30848000000002,114.46271999999998,-126.73151999999997,-88.57728000000002,203.04,203.04,99.6659579875116,137.82019798751156,76.30848000000002,114.46271999999998,76.30848000000002,114.46271999999998,0.0,0.0,-114.72479241558042,-76.57055241558047,214.39075040309203,214.39075040309203
Andere a),2039,Agora-Dampfkessel,20.357477987511594,3.0,98.8584474885845,0.0,93.1086,0.0,116.4660779875116,0.0,0.0,0.0,0.0,0.0,0.0,93.1086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,222.95875040309204,5.500750403092048,26.7123287671233,211.608,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,211.608,0.0,0.0,5.85,0.4,0.0,-2.8499999999999996,14.856727584419545,72.1461187214612,-0.4,-118.49940000000001,0.0,-106.49267241558044,0.0,0.0,0.0,0.0,0.0,0.0,93.1086,0.0,0.0,0.0,0.0,-211.608,0.0,0.0,380.0,0.5,380.0,other_industries,-266.2316810389511,74.48688000000001,111.73031999999998,-137.12112,-99.87768000000003,211.608,211.608,97.84435798751161,135.08779798751158,74.48688000000001,111.73031999999998,74.48688000000001,111.73031999999998,0.0,0.0,-125.11439241558043,-87.87095241558046,222.95875040309204,222.95875040309204
Andere a),2040,Agora-Dampfkessel,20.357477987511594,3.0,98.8584474885845,0.0,90.83159999999998,0.0,114.18907798751158,0.0,0.0,0.0,0.0,0.0,0.0,90.83159999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,231.52675040309202,5.500750403092048,26.7123287671233,220.176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,220.176,0.0,0.0,5.85,0.4,0.0,-2.8499999999999996,14.856727584419545,72.1461187214612,-0.4,-129.3444,0.0,-117.33767241558044,0.0,0.0,0.0,0.0,0.0,0.0,90.83159999999998,0.0,0.0,0.0,0.0,-220.176,0.0,0.0,400.0,0.5,400.0,other_industries,-293.3441810389511,72.66527999999997,108.99792,-147.51072000000002,-111.17808,220.176,220.176,96.0227579875116,132.35539798751157,72.66527999999997,108.99792,72.66527999999997,108.99792,0.0,0.0,-135.50399241558043,-99.17135241558046,231.52675040309202,231.52675040309202
Andere a),2041,Agora-Dampfkessel,20.357477987511594,3.0,98.8584474885845,0.0,90.2934,0.0,113.65087798751159,0.0,0.0,0.0,0.0,0.0,0.0,90.2934,0.0,0.0,0.0,0.0,0.0,0.0,0.0,239.66275040309205,5.500750403092048,26.7123287671233,228.312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,228.312,0.0,0.0,5.85,0.4,0.0,-2.8499999999999996,14.856727584419545,72.1461187214612,-0.4,-138.0186,0.0,-126.01187241558046,0.0,0.0,0.0,0.0,0.0,0.0,90.2934,0.0,0.0,0.0,0.0,-228.312,0.0,0.0,420.0,0.5,420.0,other_industries,-315.02968103895114,72.23472,108.35208000000002,-156.07727999999997,-119.95992000000001,228.312,228.312,95.59219798751155,131.70955798751163,72.23472,108.35208000000002,72.23472,108.35208000000002,0.0,0.0,-144.0705524155805,-107.95319241558042,239.66275040309205,239.66275040309205
Andere a),2042,Agora-Dampfkessel,20.357477987511594,3.0,98.8584474885845,0.0,89.7552,0.0,113.1126779875116,0.0,0.0,0.0,0.0,0.0,0.0,89.7552,0.0,0.0,0.0,0.0,0.0,0.0,0.0,247.87075040309205,5.500750403092048,26.7123287671233,236.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,236.52,0.0,0.0,5.85,0.4,0.0,-2.8499999999999996,14.856727584419545,72.1461187214612,-0.4,-146.7648,0.0,-134.75807241558044,0.0,0.0,0.0,0.0,0.0,0.0,89.7552,0.0,0.0,0.0,0.0,-236.52,0.0,0.0,440.0,0.5,440.0,other_industries,-336.8951810389511,71.80416000000002,107.70623999999998,-164.71584,-128.81376000000003,236.52,236.52,95.16163798751163,131.06371798751158,71.80416000000002,107.70623999999998,71.80416000000002,107.70623999999998,0.0,0.0,-152.70911241558042,-116.80703241558047,247.87075040309205,247.87075040309205
Andere a),2043,Agora-Dampfkessel,20.357477987511594,3.0,98.8584474885845,0.0,89.21699999999998,0.0,112.57447798751159,0.0,0.0,0.0,0.0,0.0,0.0,89.21699999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,256.07875040309204,5.500750403092048,26.7123287671233,244.728,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,244.728,0.0,0.0,5.85,0.4,0.0,-2.8499999999999996,14.856727584419545,72.1461187214612,-0.4,-155.51100000000002,0.0,-143.50427241558046,0.0,0.0,0.0,0.0,0.0,0.0,89.21699999999998,0.0,0.0,0.0,0.0,-244.728,0.0,0.0,460.0,0.5,460.0,other_industries,-358.76068103895113,71.37359999999998,107.06039999999999,-173.3544,-137.66760000000005,244.728,244.728,94.73107798751161,130.41787798751156,71.37359999999998,107.06039999999999,71.37359999999998,107.06039999999999,0.0,0.0,-161.34767241558043,-125.66087241558049,256.07875040309204,256.07875040309204
