component,scenario,scenario_group,year,value,unit,source
Electricity,Industry70-150GWh,Selected energy/feedstock,2049,62.6,€/MWh,Projektionsbericht2026
Electricity,Industry70-150GWh,Selected energy/feedstock,2050,63.6,€/MWh,Projektionsbericht2026
Natural Gas,Industry>4000GJ,Selected energy/feedstock,2025,55.73,€/MWh,Projektionsbericht2026
Natural Gas,Industry>4000GJ,Selected energy/feedstock,2026,46.25,€/MWh,Projektionsbericht2026
Natural Gas,Industry>4000GJ,Selected energy/feedstock,2027,42.28,€/MWh,Projektionsbericht2026
Natural Gas,Industry>4000GJ,Selected energy/feedstock,2028,38.57,€/MWh,Projektionsbericht2026
Natural Gas,Industry>4000GJ,Selected energy/feedstock,2029,34.58,€/MWh,Projektionsbericht2026
Natural Gas,Industry>4000GJ,Selected energy/feedstock,2030,30.6,€/MWh,Projektionsbericht2026
Natural Gas,Industry>4000GJ,Selected energy/feedstock,2031,29.52,€/MWh,Projektionsbericht2026
Natural Gas,Industry>4000GJ,Selected energy/feedstock,2032,29.19,€/MWh,Projektionsbericht2026
Natural Gas,Industry>4000GJ,Selected energy/feedstock,2033,28.86,€/MWh,Projektionsbericht2026
Natural Gas,Industry>4000GJ,Selected energy/feedstock,2034,28.54,€/MWh,Projektionsbericht2026
Natural Gas,Industry>4000GJ,Selected energy/feedstock,2035,28.22,€/MWh,Projektionsbericht2026
Natural Gas,Industry>4000GJ,Selected energy/feedstock,2036,27.91,€/MWh,Projektionsbericht2026
Natural Gas,Industry>4000GJ,Selected energy/feedstock,2037,27.6,€/MWh,Projektionsbericht2026
Natural Gas,Industry>4000GJ,Selected energy/feedstock,2038,27.3,€/MWh,Projektionsbericht2026
Natural Gas,Industry>4000GJ,Selected energy/feedstock,2039,26.99,€/MWh,Projektionsbericht2026
Natural Gas,Industry>4000GJ,Selected energy/feedstock,2040,26.69,€/MWh,Projektionsbericht2026
Natural Gas,Industry>4000GJ,Selected energy/feedstock,2041,26.7,€/MWh,Projektionsbericht2026
Natural Gas,Industry>4000GJ,Selected energy/feedstock,2042,26.77,€/MWh,Projektionsbericht2026
Natural Gas,Industry>4000GJ,Selected energy/feedstock,2043,26.84,€/MWh,Projektionsbericht2026
Natural Gas,Industry>4000GJ,Selected energy/feedstock,2044,26.92,€/MWh,Projektionsbericht2026
Natural Gas,Industry>4000GJ,Selected energy/feedstock,2045,26.99,€/MWh,Projektionsbericht2026
Natural Gas,Industry>4000GJ,Selected energy/feedstock,2046,26.99,€/MWh,Projektionsbericht2026
Natural Gas,Industry>4000GJ,Selected energy/feedstock,2047,26.98,€/MWh,Projektionsbericht2026
Natural Gas,Industry>4000GJ,Selected energy/feedstock,2048,26.98,€/MWh,Projektionsbericht2026
Natural Gas,Industry>4000GJ,Selected energy/feedstock,2049,26.97,€/MWh,Projektionsbericht2026
Natural Gas,Industry>4000GJ,Selected energy/feedstock,2050,26.97,€/MWh,Projektionsbericht2026
Hydrogen,IndustryLarge,Selected energy/feedstock,2025,6.193575282,€/kg,Projektionsbericht2026
Hydrogen,IndustryLarge,Selected energy/feedstock,2026,6.06724572,€/kg,Projektionsbericht2026
Hydrogen,IndustryLarge,Selected energy/feedstock,2027,5.945766098,€/kg,Projektionsbericht2026
Hydrogen,IndustryLarge,Selected energy/feedstock,2028,5.830687193,€/kg,Projektionsbericht2026
Hydrogen,IndustryLarge,Selected energy/feedstock,2029,5.723028481,€/kg,Projektionsbericht2026
Hydrogen,IndustryLarge,Selected energy/feedstock,2030,5.62907045,€/kg,Projektionsbericht2026
Hydrogen,IndustryLarge,Selected energy/feedstock,2031,5.543654443,€/kg,Projektionsbericht2026
Hydrogen,IndustryLarge,Selected energy/feedstock,2032,5.385246189,€/kg,Projektionsbericht2026
Hydrogen,IndustryLarge,Selected energy/feedstock,2033,5.385246189,€/kg,Projektionsbericht2026
Hydrogen,IndustryLarge,Selected energy/feedstock,2034,5.385246189,€/kg,Projektionsbericht2026
Hydrogen,IndustryLarge,Selected energy/feedstock,2035,5.062914128,€/kg,Projektionsbericht2026
Hydrogen,IndustryLarge,Selected energy/feedstock,2036,5.012244046,€/kg,Projektionsbericht2026
Hydrogen,IndustryLarge,Selected energy/feedstock,2037,4.961573963,€/kg,Projektionsbericht2026
Hydrogen,IndustryLarge,Selected energy/feedstock,2038,4.910903881,€/kg,Projektionsbericht2026
