Project name,Period,Technology,CAPEX annuity,Additional OPEX,CAPEX total,Emissions,Energy cost,Free Allocations,cost,cost_Biobutene,cost_Bioethanol,cost_Biomass,cost_CO2 EoL,cost_Coking Coal,cost_DRI-Pellets,cost_Electricity,cost_Hydrogen,cost_Injection Coal,cost_Iron Ore,cost_Naphta,cost_Natural Gas,cost_PCW,cost_Scrap Steel,cost_ref,CAPEX annuity_ref,CAPEX total_ref,Energy cost_ref,cost_Biobutene_ref,cost_Bioethanol_ref,cost_Biomass_ref,cost_CO2 EoL_ref,cost_Coking Coal_ref,cost_DRI-Pellets_ref,cost_Electricity_ref,cost_Hydrogen_ref,cost_Injection Coal_ref,cost_Iron Ore_ref,cost_Naphta_ref,cost_Natural Gas_ref,cost_PCW_ref,cost_Scrap Steel_ref,Additional OPEX_ref,Emissions_ref,Free Allocations_ref,Additional OPEX_diff,CAPEX annuity_diff,CAPEX total_diff,Emissions_diff,Energy cost_diff,Free Allocations_diff,cost_diff,cost_Biobutene_diff,cost_Bioethanol_diff,cost_Biomass_diff,cost_CO2 EoL_diff,cost_Coking Coal_diff,cost_DRI-Pellets_diff,cost_Electricity_diff,cost_Hydrogen_diff,cost_Injection Coal_diff,cost_Iron Ore_diff,cost_Naphta_diff,cost_Natural Gas_diff,cost_PCW_diff,cost_Scrap Steel_diff,CO2 Price,Size,Effective CO2 Price,Industry,Abatement_cost,Energy cost_lower,Energy cost_upper,Energy cost_diff_lower,Energy cost_diff_upper,Energy cost_ref_lower,Energy cost_ref_upper,cost_lower,cost_upper,cost_Natural Gas_lower,cost_Natural Gas_upper,cost_Natural Gas_diff_lower,cost_Natural Gas_diff_upper,cost_Natural Gas_ref_lower,cost_Natural Gas_ref_upper,cost_diff_lower,cost_diff_upper,cost_ref_lower,cost_ref_upper
Zement k),2031,Agora-Drehrohrofen,29.85920154704067,109.6,290.0,0.083,123.3708,0.0,262.83000154704064,0.0,0.0,0.0,0.0,96.0,0.0,26.64252,0.0,0.0,0.0,0.0,0.72828,0.0,0.0,159.1735184736772,23.78439847367722,231.0,105.60912,0.0,0.0,0.0,0.0,96.0,0.0,8.88084,0.0,0.0,0.0,0.0,0.72828,0.0,0.0,29.78,0.827,0.0,79.82,6.074803073363448,59.0,-0.744,17.76168,0.0,103.65648307336343,0.0,0.0,0.0,0.0,0.0,0.0,17.761680000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,220.0,1.25,220.0,cement,139.32322993731646,123.225144,123.516456,17.76168,17.76168,105.463464,105.754776,262.6843455470405,262.9756575470408,0.582624,0.873936,0.0,0.0,0.582624,0.873936,103.65648307336332,103.65648307336355,159.02786247367717,159.31917447367724
Zement k),2032,Agora-Drehrohrofen,29.85920154704067,109.6,290.0,0.083,122.74944,0.0,262.20864154704066,0.0,0.0,0.0,0.0,96.0,0.0,25.98156,0.0,0.0,0.0,0.0,0.76788,0.0,0.0,158.9927984736772,23.78439847367722,231.0,105.4284,0.0,0.0,0.0,0.0,96.0,0.0,8.66052,0.0,0.0,0.0,0.0,0.76788,0.0,0.0,29.78,0.827,0.0,79.82,6.074803073363448,59.0,-0.744,17.32104000000001,0.0,103.21584307336346,0.0,0.0,0.0,0.0,0.0,0.0,17.321040000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,240.0,1.25,240.0,cement,138.73097187280035,122.59586400000002,122.903016,17.321039999999982,17.32104000000004,105.27482399999998,105.58197600000001,262.0550655470407,262.3622175470406,0.6143040000000001,0.9214559999999999,0.0,0.0,0.6143040000000001,0.9214559999999999,103.21584307336335,103.21584307336357,158.83922247367715,159.14637447367724
Zement k),2033,Agora-Drehrohrofen,29.85920154704067,109.6,290.0,0.083,122.12844,0.0,261.5876415470407,0.0,0.0,0.0,0.0,96.0,0.0,25.320600000000002,0.0,0.0,0.0,0.0,0.8078400000000001,0.0,0.0,158.81243847367722,23.78439847367722,231.0,105.24804,0.0,0.0,0.0,0.0,96.0,0.0,8.440199999999999,0.0,0.0,0.0,0.0,0.8078400000000001,0.0,0.0,29.78,0.827,0.0,79.82,6.074803073363448,59.0,-0.744,16.880399999999995,0.0,102.77520307336346,0.0,0.0,0.0,0.0,0.0,0.0,16.8804,0.0,0.0,0.0,0.0,0.0,0.0,0.0,260.0,1.25,260.0,cement,138.13871380828422,121.96687199999998,122.29000800000001,16.880399999999966,16.880400000000023,105.08647200000001,105.40960799999999,261.4260735470407,261.74920954704066,0.6462720000000002,0.969408,0.0,0.0,0.6462720000000002,0.969408,102.77520307336346,102.77520307336346,158.65087047367723,158.9740064736772
Zement k),2034,Agora-Drehrohrofen,29.85920154704067,109.6,290.0,0.083,121.50708,0.0,260.9662815470407,0.0,0.0,0.0,0.0,96.0,0.0,24.65964,0.0,0.0,0.0,0.0,0.84744,0.0,0.0,158.6317184736772,23.78439847367722,231.0,105.06732,0.0,0.0,0.0,0.0,96.0,0.0,8.21988,0.0,0.0,0.0,0.0,0.84744,0.0,0.0,29.78,0.827,0.0,79.82,6.074803073363448,59.0,-0.744,16.439760000000007,0.0,102.33456307336348,0.0,0.0,0.0,0.0,0.0,0.0,16.43976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,280.0,1.25,280.0,cement,137.54645574376812,121.337592,121.676568,16.439760000000007,16.439760000000007,104.897832,105.236808,260.7967935470407,261.1357695470407,0.6779519999999999,1.016928,0.0,0.0,0.6779519999999999,1.016928,102.33456307336348,102.33456307336348,158.4622304736772,158.8012064736772
Zement k),2035,Agora-Drehrohrofen,29.85920154704067,109.6,290.0,0.083,120.89544000000001,0.0,260.35464154704067,0.0,0.0,0.0,0.0,96.0,0.0,24.0084,0.0,0.0,0.0,0.0,0.8870399999999999,0.0,0.0,158.45423847367724,23.78439847367722,231.0,104.88984,0.0,0.0,0.0,0.0,96.0,0.0,8.0028,0.0,0.0,0.0,0.0,0.8870399999999999,0.0,0.0,29.78,0.827,0.0,79.82,6.074803073363448,59.0,-0.744,16.0056,0.0,101.90040307336344,0.0,0.0,0.0,0.0,0.0,0.0,16.0056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0,1.25,300.0,cement,136.96290735667128,120.71803200000002,121.072848,16.0056,16.0056,104.71243200000002,105.06724799999999,260.17723354704077,260.5320495470406,0.7096319999999999,1.064448,0.0,0.0,0.7096319999999999,1.064448,101.90040307336338,101.90040307336349,158.27683047367728,158.6316464736772
Zement k),2036,Agora-Drehrohrofen,29.85920154704067,109.6,290.0,0.083,120.40368000000001,0.0,259.8628815470407,0.0,0.0,0.0,0.0,96.0,0.0,23.4738,0.0,0.0,0.0,0.0,0.92988,0.0,0.0,158.31887847367722,23.78439847367722,231.0,104.75448,0.0,0.0,0.0,0.0,96.0,0.0,7.824599999999999,0.0,0.0,0.0,0.0,0.92988,0.0,0.0,29.78,0.827,0.0,79.82,6.074803073363448,59.0,-0.744,15.649200000000008,0.0,101.54400307336346,0.0,0.0,0.0,0.0,0.0,0.0,15.6492,0.0,0.0,0.0,0.0,0.0,0.0,0.0,320.0,1.25,320.0,cement,136.4838750986068,120.21770400000003,120.58965599999999,15.649200000000008,15.649200000000008,104.56850400000002,104.94045599999998,259.6769055470407,260.04885754704065,0.7439039999999999,1.1158560000000002,0.0,0.0,0.7439039999999999,1.1158560000000002,101.54400307336346,101.54400307336346,158.13290247367723,158.5048544736772
Zement k),2037,Agora-Drehrohrofen,29.85920154704067,109.6,290.0,0.083,119.90183999999999,0.0,259.36104154704066,0.0,0.0,0.0,0.0,96.0,0.0,22.92948,0.0,0.0,0.0,0.0,0.9723600000000001,0.0,0.0,158.17991847367722,23.78439847367722,231.0,104.61552,0.0,0.0,0.0,0.0,96.0,0.0,7.64316,0.0,0.0,0.0,0.0,0.9723600000000001,0.0,0.0,29.78,0.827,0.0,79.82,6.074803073363448,59.0,-0.744,15.28631999999999,0.0,101.18112307336344,0.0,0.0,0.0,0.0,0.0,0.0,15.286320000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,340.0,1.25,340.0,cement,135.9961331631229,119.70736799999997,120.09631200000001,15.28631999999996,15.286320000000018,104.42104800000001,104.809992,259.16656954704064,259.5555135470407,0.7778879999999999,1.1668320000000003,0.0,0.0,0.7778879999999999,1.1668320000000003,101.18112307336338,101.1811230733635,157.98544647367726,158.37439047367718
Zement k),2038,Agora-Drehrohrofen,29.85920154704067,109.6,290.0,0.083,119.41008,0.0,258.86928154704066,0.0,0.0,0.0,0.0,96.0,0.0,22.39488,0.0,0.0,0.0,0.0,1.0151999999999999,0.0,0.0,158.0445584736772,23.78439847367722,231.0,104.48016,0.0,0.0,0.0,0.0,96.0,0.0,7.46496,0.0,0.0,0.0,0.0,1.0151999999999999,0.0,0.0,29.78,0.827,0.0,79.82,6.074803073363448,59.0,-0.744,14.929919999999996,0.0,100.82472307336346,0.0,0.0,0.0,0.0,0.0,0.0,14.929920000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,360.0,1.25,359.99999999999994,cement,135.5171009050584,119.20703999999998,119.61312000000001,14.929919999999996,14.929919999999996,104.27711999999998,104.68320000000001,258.66624154704067,259.07232154704064,0.8121599999999998,1.21824,0.0,0.0,0.8121599999999998,1.21824,100.8247230733634,100.82472307336351,157.84151847367716,158.24759847367724
Zement k),2039,Agora-Drehrohrofen,29.85920154704067,109.6,290.0,0.083,118.91832,0.0,258.37752154704066,0.0,0.0,0.0,0.0,96.0,0.0,21.86028,0.0,0.0,0.0,0.0,1.05804,0.0,0.0,157.9091984736772,23.78439847367722,231.0,104.34479999999999,0.0,0.0,0.0,0.0,96.0,0.0,7.286759999999999,0.0,0.0,0.0,0.0,1.05804,0.0,0.0,29.78,0.827,0.0,79.82,6.074803073363448,59.0,-0.744,14.573520000000002,0.0,100.46832307336345,0.0,0.0,0.0,0.0,0.0,0.0,14.57352,0.0,0.0,0.0,0.0,0.0,0.0,0.0,380.0,1.25,379.99999999999994,cement,135.03806864699388,118.70671199999998,119.129928,14.573520000000002,14.573520000000002,104.13319199999998,104.556408,258.1659135470407,258.5891295470406,0.8464320000000001,1.269648,0.0,0.0,0.8464320000000001,1.269648,100.4683230733634,100.4683230733635,157.6975904736772,158.12080647367722
Zement k),2040,Agora-Drehrohrofen,29.85920154704067,109.6,290.0,0.083,118.42656,0.0,257.88576154704066,0.0,0.0,0.0,0.0,96.0,0.0,21.32568,0.0,0.0,0.0,0.0,1.1008799999999999,0.0,0.0,157.77383847367722,23.78439847367722,231.0,104.20944,0.0,0.0,0.0,0.0,96.0,0.0,7.108559999999999,0.0,0.0,0.0,0.0,1.1008799999999999,0.0,0.0,29.78,0.827,0.0,79.82,6.074803073363448,59.0,-0.744,14.217119999999994,0.0,100.11192307336344,0.0,0.0,0.0,0.0,0.0,0.0,14.21712,0.0,0.0,0.0,0.0,0.0,0.0,0.0,400.0,1.25,400.00000000000006,cement,134.55903638892937,118.20638399999999,118.646736,14.217119999999966,14.217120000000023,103.98926400000002,104.42961599999998,257.66558554704073,258.1059375470406,0.8807039999999995,1.3210560000000002,0.0,0.0,0.8807039999999995,1.3210560000000002,100.11192307336339,100.1119230733635,157.55366247367724,157.9940144736772
