Project name,Period,Technology,CAPEX annuity,Additional OPEX,CAPEX total,Emissions,Energy cost,Free Allocations,cost,cost_Biobutene,cost_Bioethanol,cost_Biomass,cost_CO2 EoL,cost_Coking Coal,cost_DRI-Pellets,cost_Electricity,cost_Hydrogen,cost_Injection Coal,cost_Iron Ore,cost_Naphta,cost_Natural Gas,cost_PCW,cost_Scrap Steel,cost_ref,CAPEX annuity_ref,CAPEX total_ref,Energy cost_ref,cost_Biobutene_ref,cost_Bioethanol_ref,cost_Biomass_ref,cost_CO2 EoL_ref,cost_Coking Coal_ref,cost_DRI-Pellets_ref,cost_Electricity_ref,cost_Hydrogen_ref,cost_Injection Coal_ref,cost_Iron Ore_ref,cost_Naphta_ref,cost_Natural Gas_ref,cost_PCW_ref,cost_Scrap Steel_ref,Additional OPEX_ref,Emissions_ref,Free Allocations_ref,Additional OPEX_diff,CAPEX annuity_diff,CAPEX total_diff,Emissions_diff,Energy cost_diff,Free Allocations_diff,cost_diff,cost_Biobutene_diff,cost_Bioethanol_diff,cost_Biomass_diff,cost_CO2 EoL_diff,cost_Coking Coal_diff,cost_DRI-Pellets_diff,cost_Electricity_diff,cost_Hydrogen_diff,cost_Injection Coal_diff,cost_Iron Ore_diff,cost_Naphta_diff,cost_Natural Gas_diff,cost_PCW_diff,cost_Scrap Steel_diff,CO2 Price,Size,Effective CO2 Price,Industry,Abatement_cost,CO2 Price_lower,CO2 Price_upper,Energy cost_lower,Energy cost_upper,Energy cost_diff_lower,Energy cost_diff_upper,Energy cost_ref_lower,Energy cost_ref_upper,cost_lower,cost_upper,cost_Electricity_lower,cost_Electricity_upper,cost_Electricity_diff_lower,cost_Electricity_diff_upper,cost_Electricity_ref_lower,cost_Electricity_ref_upper,cost_Hydrogen_lower,cost_Hydrogen_upper,cost_Hydrogen_diff_lower,cost_Hydrogen_diff_upper,cost_Natural Gas_lower,cost_Natural Gas_upper,cost_Natural Gas_diff_lower,cost_Natural Gas_diff_upper,cost_Natural Gas_ref_lower,cost_Natural Gas_ref_upper,cost_diff_lower,cost_diff_upper,cost_ref_lower,cost_ref_upper
Gasifizierung-FT,2038,Steamcracker_Naphtha,503.26298403234875,414.07,6927.33,3.58,528.46992,0.0,1655.8029040323486,0.0,0.0,0.0,0.0,0.0,0.0,56.401920000000004,0.0,0.0,0.0,0.0,472.06800000000004,210.0,0.0,2515.015382778105,196.93594277810507,2710.79,514.36944,0.0,0.0,0.0,1130.4,0.0,0.0,42.30144,0.0,0.0,0.0,608.9999999999999,472.06800000000004,0.0,0.0,64.31,1.57,0.0,349.76,306.3270412542437,4216.54,2.01,14.100479999999948,0.0,-859.2124787457565,0.0,0.0,0.0,-1130.4,0.0,0.0,14.100480000000005,0.0,0.0,0.0,-608.9999999999999,0.0,210.0,0.0,360.0,1.0,360.0,polymers,427.46889489838634,216.0,504.0,433.38482690887724,623.5550130911228,11.280383999999799,16.920576000000096,419.57753982913675,609.1613401708634,1560.717810941225,1750.8879971234721,45.121536000000006,67.682304,11.280384000000012,16.920575999999997,33.841151999999994,50.761728000000005,0.0,0.0,0.0,0.0,377.65440000000007,566.4816000000001,0.0,0.0,377.65440000000007,566.4816000000001,-862.0325747457568,-856.3923827457561,2420.2234826072417,2609.8072829489683
Gasifizierung-FT,2039,Steamcracker_Naphtha,503.26298403234875,414.07,6927.33,3.58,547.04412,0.0,1674.3771040323486,0.0,0.0,0.0,0.0,0.0,0.0,55.05552,0.0,0.0,0.0,0.0,491.9886,210.0,0.0,2596.726182778105,196.93594277810507,2710.79,533.28024,0.0,0.0,0.0,1193.2,0.0,0.0,41.29164,0.0,0.0,0.0,608.9999999999999,491.9886,0.0,0.0,64.31,1.57,0.0,349.76,306.3270412542437,4216.54,2.01,13.763879999999972,0.0,-922.3490787457563,0.0,0.0,0.0,-1193.2,0.0,0.0,13.76388,0.0,0.0,0.0,-608.9999999999999,0.0,210.0,0.0,380.0,1.0,380.0,polymers,458.8801386794808,228.0,532.0,448.03222317695554,646.0560168230445,11.011103999999932,16.51665600000001,434.53657548143985,632.0239045185602,1575.3652072093041,1773.389000855393,44.044416,66.066624,11.011104000000003,16.516655999999998,33.033311999999995,49.54996800000001,0.0,0.0,0.0,0.0,393.5908800000001,590.38632,0.0,0.0,393.5908800000001,590.38632,-925.1018547457566,-919.596302745756,2497.9825182595446,2695.469847296665
Gasifizierung-FT,2040,Steamcracker_Naphtha,503.26298403234875,414.07,6927.33,3.58,565.61832,0.0,1692.9513040323486,0.0,0.0,0.0,0.0,0.0,0.0,53.70912,0.0,0.0,0.0,0.0,511.9092,210.0,0.0,2678.436982778105,196.93594277810507,2710.79,552.19104,0.0,0.0,0.0,1256.0,0.0,0.0,40.281839999999995,0.0,0.0,0.0,608.9999999999999,511.9092,0.0,0.0,64.31,1.57,0.0,349.76,306.3270412542437,4216.54,2.01,13.427279999999996,0.0,-985.4856787457566,0.0,0.0,0.0,-1256.0,0.0,0.0,13.427280000000003,0.0,0.0,0.0,-608.9999999999999,0.0,210.0,0.0,400.0,1.0,400.0,polymers,490.29138246057545,240.0,560.0,462.67451035302525,668.5621296469749,10.741823999999838,16.112736000000154,449.49271368872553,654.8893663112746,1590.0074943853738,1795.8951136793235,42.967296000000005,64.45094399999999,10.741824000000015,16.11273599999999,32.22547199999999,48.338208,0.0,0.0,0.0,0.0,409.5273599999999,614.2910400000001,0.0,0.0,409.5273599999999,614.2910400000001,-988.1711347457576,-982.8002227457555,2575.7386564668304,2781.13530908938
Gasifizierung-FT,2041,Steamcracker_Naphtha,503.26298403234875,414.07,6927.33,3.58,584.2162800000001,0.0,1711.5492640323487,0.0,0.0,0.0,0.0,0.0,0.0,53.39088000000001,0.0,0.0,0.0,0.0,530.8254000000001,210.0,0.0,2759.914502778105,196.93594277810507,2710.79,570.8685600000001,0.0,0.0,0.0,1318.8,0.0,0.0,40.04316,0.0,0.0,0.0,608.9999999999999,530.8254000000001,0.0,0.0,64.31,1.57,0.0,349.76,306.3270412542437,4216.54,2.01,13.347719999999981,0.0,-1048.3652387457564,0.0,0.0,0.0,-1318.8,0.0,0.0,13.34772000000001,0.0,0.0,0.0,-608.9999999999999,0.0,210.0,0.0,420.0,1.0,420.0,polymers,521.574745644655,252.0,588.0,477.5155412298614,690.9170187701387,10.678175999999894,16.01726400000007,464.4018403270536,677.3352796729466,1604.8485252622093,1818.250002802488,42.712704,64.06905600000002,10.678176000000008,16.01726400000001,32.034527999999995,48.051792000000006,0.0,0.0,0.0,0.0,424.66032000000007,636.99048,0.0,0.0,424.66032000000007,636.99048,-1051.0347827457576,-1045.6956947457552,2653.4477831051595,2866.3812224510507
Gasifizierung-FT,2042,Steamcracker_Naphtha,503.26298403234875,414.07,6927.33,3.58,602.9816400000001,0.0,1730.314624032349,0.0,0.0,0.0,0.0,0.0,0.0,53.07264000000001,0.0,0.0,0.0,0.0,549.9090000000001,210.0,0.0,2841.559422778105,196.93594277810507,2710.79,589.7134800000001,0.0,0.0,0.0,1381.6000000000001,0.0,0.0,39.80448,0.0,0.0,0.0,608.9999999999999,549.9090000000001,0.0,0.0,64.31,1.57,0.0,349.76,306.3270412542437,4216.54,2.01,13.268159999999966,0.0,-1111.2447987457558,0.0,0.0,0.0,-1381.6000000000001,0.0,0.0,13.268160000000009,0.0,0.0,0.0,-608.9999999999999,0.0,210.0,0.0,440.0,1.0,440.0,polymers,552.8581088287343,264.0,616.0,492.488814278586,713.4744657214142,10.61452799999995,15.921791999999982,479.44393662394896,699.9830233760513,1619.8217983109353,1840.8074497537627,42.458112000000014,63.687168,10.614528000000021,15.921791999999996,31.843583999999993,47.765376,0.0,0.0,0.0,0.0,439.9272000000001,659.8908000000001,0.0,0.0,439.9272000000001,659.8908000000001,-1113.8984307457554,-1108.5911667457563,2731.289879402053,2951.8289661541567
Gasifizierung-FT,2043,Steamcracker_Naphtha,503.26298403234875,414.07,6927.33,3.58,621.7470000000001,0.0,1749.0799840323489,0.0,0.0,0.0,0.0,0.0,0.0,52.754400000000004,0.0,0.0,0.0,0.0,568.9926,210.0,0.0,2923.204342778105,196.93594277810507,2710.79,608.5584,0.0,0.0,0.0,1444.4,0.0,0.0,39.5658,0.0,0.0,0.0,608.9999999999999,568.9926,0.0,0.0,64.31,1.57,0.0,349.76,306.3270412542437,4216.54,2.01,13.188600000000065,0.0,-1174.1243587457561,0.0,0.0,0.0,-1444.4,0.0,0.0,13.188600000000001,0.0,0.0,0.0,-608.9999999999999,0.0,210.0,0.0,460.0,1.0,460.0,polymers,584.141472012814,276.0,644.0,507.46041188501255,736.0335881149877,10.55088000000012,15.82632000000001,494.4850847357542,722.6317152642458,1634.793395917361,1863.3665721473367,42.20352000000001,63.305279999999996,10.55088,15.826320000000003,31.652640000000012,47.478959999999994,0.0,0.0,0.0,0.0,455.19408,682.7911200000001,0.0,0.0,455.19408,682.7911200000001,-1176.7620787457558,-1171.4866387457564,2809.131027513859,3037.277658042351
Gasifizierung-FT,2044,Steamcracker_Naphtha,503.26298403234875,414.07,6927.33,3.58,640.5123600000001,0.0,1767.8453440323487,0.0,0.0,0.0,0.0,0.0,0.0,52.43616,0.0,0.0,0.0,0.0,588.0762000000001,210.0,0.0,3004.849262778105,196.93594277810507,2710.79,627.4033200000001,0.0,0.0,0.0,1507.2,0.0,0.0,39.32712,0.0,0.0,0.0,608.9999999999999,588.0762000000001,0.0,0.0,64.31,1.57,0.0,349.76,306.3270412542437,4216.54,2.01,13.109039999999936,0.0,-1237.0039187457564,0.0,0.0,0.0,-1507.2,0.0,0.0,13.10904,0.0,0.0,0.0,-608.9999999999999,0.0,210.0,0.0,480.0,1.0,480.0,polymers,615.4248351968938,288.0,672.0,522.4304955360639,758.5942244639363,10.487231999999608,15.730848000000265,509.52537645262845,745.2812635473717,1649.7634795684123,1885.9272084962852,41.948927999999995,62.92339200000001,10.487231999999999,15.730848000000002,31.461695999999996,47.192544000000005,0.0,0.0,0.0,0.0,470.4609600000002,705.69144,0.0,0.0,470.4609600000002,705.69144,-1239.6257267457572,-1234.3821107457557,2886.971319230734,3122.7272063254763
Gasifizierung-FT,2045,Steamcracker_Naphtha,503.26298403234875,414.07,6927.33,3.58,659.27772,0.0,1786.6107040323486,0.0,0.0,0.0,0.0,0.0,0.0,52.117920000000005,0.0,0.0,0.0,0.0,607.1598,210.0,0.0,3086.494182778105,196.93594277810507,2710.79,646.24824,0.0,0.0,0.0,1570.0,0.0,0.0,39.088440000000006,0.0,0.0,0.0,608.9999999999999,607.1598,0.0,0.0,64.31,1.57,0.0,349.76,306.3270412542437,4216.54,2.01,13.029480000000035,0.0,-1299.8834787457563,0.0,0.0,0.0,-1570.0,0.0,0.0,13.02948,0.0,0.0,0.0,-608.9999999999999,0.0,210.0,0.0,500.0,1.0,500.0,polymers,646.7081983809734,300.0,700.0,537.3992066646025,781.1562333353976,10.423584000000233,15.635375999999837,524.5648921042958,767.9315878957042,1664.7321906969503,1908.489217367747,41.694336,62.54150400000001,10.423583999999984,15.635376000000015,31.270752000000016,46.906127999999995,0.0,0.0,0.0,0.0,485.7278399999999,728.5917600000001,0.0,0.0,485.7278399999999,728.5917600000001,-1302.4893747457563,-1297.2775827457563,2964.8108348824007,3208.177530673809
Gasifizierung-FT E-Steamcracker,2025,Steamcracker_Naphtha,503.26298403234875,414.07,6927.33,2.21,544.74732,0.0,1672.0803040323485,0.0,0.0,0.0,0.0,0.0,0.0,544.74732,0.0,0.0,0.0,0.0,0.0,210.0,0.0,1572.310982778105,196.93594277810507,2710.79,360.30744,0.0,0.0,0.0,341.7576,0.0,0.0,52.12404,0.0,0.0,0.0,608.9999999999999,308.1834,0.0,0.0,64.31,1.57,0.0,349.76,306.3270412542437,4216.54,0.6399999999999999,184.43987999999996,0.0,99.76932125424355,0.0,0.0,0.0,-341.7576,0.0,0.0,492.62327999999997,0.0,0.0,0.0,-608.9999999999999,-308.1834,210.0,0.0,108.84,1.0,108.84,polymers,-155.88956445975558,65.304,152.376,435.7978559999999,653.696784,68.22375305825089,300.656006941749,297.7953856163911,422.81949438360886,1563.1308400323483,1781.0297680323488,435.7978559999999,653.696784,394.09862400000003,591.1479359999998,41.699232,62.548848,0.0,0.0,0.0,0.0,0.0,0.0,-369.8200800000001,-246.54671999999994,246.54671999999994,369.8200800000001,-16.446805687506,215.98544819599311,1509.7989283944962,1634.8230371617137
Gasifizierung-FT E-Steamcracker,2026,Steamcracker_Naphtha,503.26298403234875,414.07,6927.33,2.21,543.59604,0.0,1670.929024032349,0.0,0.0,0.0,0.0,0.0,0.0,543.59604,0.0,0.0,0.0,0.0,0.0,210.0,0.0,1631.7866227781049,196.93594277810507,2710.79,362.54088,0.0,0.0,0.0,398.9998,0.0,0.0,52.01388,0.0,0.0,0.0,608.9999999999999,310.52700000000004,0.0,0.0,64.31,1.57,0.0,349.76,306.3270412542437,4216.54,0.6399999999999999,181.05516,0.0,39.14240125424408,0.0,0.0,0.0,-398.9998,0.0,0.0,491.58216000000004,0.0,0.0,0.0,-608.9999999999999,-310.52700000000004,210.0,0.0,127.07,1.0,127.07,polymers,-61.16000195975638,76.24200000000002,177.89799999999997,434.87683200000004,652.315248,64.76585907179506,297.34446092820497,299.57026417272573,425.5114958272743,1562.2098160323494,1779.6482320323485,434.87683200000004,652.315248,393.2657280000002,589.8985919999999,41.611104,62.416656,0.0,0.0,0.0,0.0,0.0,0.0,-372.63239999999996,-248.42160000000013,248.42160000000013,372.63239999999996,-77.14689967396056,155.4317021824487,1568.8160069508306,1694.7572386053791
