Source Reference,Scenario,Unit,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
REMIND-EU Modellierung (Option 1),ETS-Preis niedrig,€/t,,,,,100,104.285714285714,108.571428571428,112.857142857142,117.142857142857,121.428571428571,125.714285714285,130,134.285714285714,138.571428571428,142.857142857142,147.142857142857,151.428571428571,155.714285714285,159.999999999999,164.285714285714,168.571428571428,172.857142857142,,,,,,,,,,
REMIND-EU Modellierung (Option 3),ETS-Preis mittel,€/t,,,,,100,112.857142857142,125.714285714285,138.571428571428,151.428571428571,164.285714285714,177.142857142857,190,202.857142857142,215.714285714285,228.571428571428,241.428571428571,254.285714285714,267.142857142857,280,292.857142857142,305.714285714285,318.571428571428,,,,,,,,,,
REMIND-EU Modellierung (Option 2),ETS-Preis hoch,€/t,,,,,100,114.285714285714,128.571428571428,142.857142857142,157.142857142857,171.428571428571,185.714285714285,200,214.285714285714,228.571428571428,242.857142857142,257.142857142857,271.428571428571,285.714285714285,299.999999999999,314.285714285714,328.571428571428,342.857142857142,,,,,,,,,,
Auktionspreis vom 26.09.2022 mit einer Erhöhung von 5 € pro Jahr (Steigerung aus ""Transformationspfade der Stahlindustrie"" Prognos 2022),KSV-Base-CO2,€/t,,,,67.6,72.6,77.6,82.6,87.6,92.6,97.6,102.6,107.6,112.6,117.6,122.6,127.6,132.6,137.6,142.6,147.6,152.6,157.6,162.6,167.6,172.6,177.6,182.6,187.6,192.6,197.6,202.6,207.6
,KSV-Null-CO2,€/t,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,PIKExpertGuess-CO2,€/t,,,,100,107.1,114.67,122.71,131.22,140.21,149.67,159.6,170,180.87,192.22,204.04,216.33,229.1,242.33,256.04,270.22,284.87,300,315.6,331.67,348.21,365.22,382.71,400.67,419.1,438,457.37,477.22
,Low-CO2,€/t,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0
,Ariadne-Indikation-KN2045_Mix,€/t,,,,,,,108.84,127.07,145.3,163.54,181.77,200,220,240,260,280,300,320,340,360,380,400,420,440,460,480,500,500,500,500,500,500
,Ariadne-Indikation-ExPol,€/t,,,,,,,80.27,84.22,88.16,92.11,96.05,100,108,116,124,132,140,146,152,158,164,170,176,182,188,194,200,200,200,200,200,200
